id	ratio	route
92	1.000000	4->5->9->10->15->22->21->
93	1.000000	4->5->9->10->15->22->
94	1.000000	4->11->14->23->
95	1.000000	4->11->14->23->24->
96	1.000000	5->4->3->1->
97	1.000000	5->6->2->
98	1.000000	5->4->3->
99	1.000000	5->4->
101	1.000000	5->6->
102	0.811847	5->6->8->7->
102	0.188153	5->9->8->7->
103	0.811847	5->6->8->
103	0.188153	5->9->8->
104	1.000000	5->9->
105	1.000000	5->9->10->
106	1.000000	5->4->11->
107	1.000000	5->4->3->12->
108	1.000000	5->4->3->12->13->
109	1.000000	5->4->11->14->
110	1.000000	5->9->10->15->
111	0.802660	5->9->10->16->
111	0.171937	5->6->8->16->
111	0.025404	5->9->8->16->
112	1.000000	5->9->10->17->
114	1.000000	5->9->10->15->19->
115	0.444832	5->9->10->15->19->20->
115	0.029419	5->9->8->7->18->20->
115	0.525264	5->6->8->7->18->20->
115	0.000485	5->9->10->15->22->20->
116	1.000000	5->9->10->15->22->21->
117	1.000000	5->9->10->15->22->
118	1.000000	5->4->11->14->23->
120	1.000000	6->2->1->
121	1.000000	6->2->
122	1.000000	6->5->4->3->
123	1.000000	6->5->4->
124	1.000000	6->5->
126	1.000000	6->8->7->
127	1.000000	6->8->
128	1.000000	6->5->9->
129	1.000000	6->5->9->10->
130	1.000000	6->5->4->11->
131	1.000000	6->5->4->3->12->
132	1.000000	6->5->4->3->12->13->
133	1.000000	6->5->4->11->14->
134	1.000000	6->5->9->10->15->
135	1.000000	6->8->16->
136	0.143703	6->8->16->17->
136	0.856297	6->5->9->10->17->
137	1.000000	6->8->7->18->
138	1.000000	6->5->9->10->15->19->
139	1.000000	6->8->7->18->20->
140	1.000000	6->8->7->18->20->21->
141	1.000000	6->5->9->10->15->22->
142	1.000000	6->5->4->11->14->23->
143	1.000000	6->5->4->11->14->23->24->
144	1.000000	7->8->6->2->1->
145	1.000000	7->8->6->2->
146	0.207641	7->8->9->5->4->3->
146	0.792359	7->8->6->5->4->3->
147	0.207641	7->8->9->5->4->
147	0.792359	7->8->6->5->4->
148	0.207641	7->8->9->5->
148	0.792359	7->8->6->5->
149	1.000000	7->8->6->
151	1.000000	7->8->
152	1.000000	7->8->9->
153	1.000000	7->8->9->10->
154	1.000000	7->8->9->10->11->
155	0.207641	7->8->9->5->4->3->12->
155	0.792359	7->8->6->5->4->3->12->
156	1.000000	7->18->20->21->24->13->
157	0.078404	7->18->20->22->23->14->
157	0.921596	7->18->20->19->15->14->
158	0.977224	7->18->20->19->15->
158	0.022776	7->18->20->22->15->
159	1.000000	7->18->16->
160	1.000000	7->18->16->17->
161	1.000000	7->18->
162	1.000000	7->18->20->19->
163	1.000000	7->18->20->
164	1.000000	7->18->20->21->
165	1.000000	7->18->20->22->
166	1.000000	7->18->20->22->23->
167	1.000000	7->18->20->21->24->
168	1.000000	8->6->2->1->
169	1.000000	8->6->2->
170	0.207641	8->9->5->4->3->
170	0.792359	8->6->5->4->3->
171	0.207641	8->9->5->4->
171	0.792359	8->6->5->4->
172	0.207641	8->9->5->
172	0.792359	8->6->5->
173	1.000000	8->6->
174	1.000000	8->7->
176	1.000000	8->9->
177	1.000000	8->9->10->
178	1.000000	8->9->10->11->
179	0.207641	8->9->5->4->3->12->
179	0.792359	8->6->5->4->3->12->
180	0.207641	8->9->5->4->3->12->13->
180	0.792359	8->6->5->4->3->12->13->
181	0.024654	8->7->18->20->22->23->14->
181	0.840902	8->7->18->20->19->15->14->
181	0.073762	8->9->10->15->14->
181	0.060681	8->9->10->11->14->
182	0.842781	8->7->18->20->19->15->
182	0.134443	8->9->10->15->
182	0.022776	8->7->18->20->22->15->
183	1.000000	8->16->
184	1.000000	8->16->17->
185	1.000000	8->7->18->
186	1.000000	8->7->18->20->19->
187	1.000000	8->7->18->20->
188	1.000000	8->7->18->20->21->
189	1.000000	8->7->18->20->22->
190	1.000000	8->7->18->20->22->23->
191	1.000000	8->7->18->20->21->24->
192	1.000000	9->5->4->3->1->
193	1.000000	9->5->6->2->
194	1.000000	9->5->4->3->
195	1.000000	9->5->4->
196	1.000000	9->5->
197	1.000000	9->5->6->
198	1.000000	9->8->7->
199	1.000000	9->8->
201	1.000000	9->10->
202	1.000000	9->10->11->
203	1.000000	9->5->4->3->12->
204	1.000000	9->5->4->3->12->13->
205	0.713013	9->10->15->14->
205	0.286987	9->10->11->14->
206	1.000000	9->10->15->
207	0.848709	9->10->16->
207	0.151291	9->8->16->
208	1.000000	9->10->17->
209	1.000000	9->8->7->18->
210	1.000000	9->10->15->19->
211	0.679403	9->10->15->19->20->
211	0.320112	9->8->7->18->20->
211	0.000485	9->10->15->22->20->
212	1.000000	9->10->15->22->21->
213	1.000000	9->10->15->22->
214	0.511910	9->10->15->22->23->
214	0.279509	9->10->15->14->23->
214	0.208581	9->10->11->14->23->
215	0.510425	9->10->15->22->21->24->
215	0.251518	9->10->15->14->23->24->
215	0.238057	9->10->15->22->23->24->
216	1.000000	10->9->5->4->3->1->
217	1.000000	10->9->5->6->2->
218	1.000000	10->9->5->4->3->
219	1.000000	10->9->5->4->
220	1.000000	10->9->5->
221	1.000000	10->9->5->6->
222	1.000000	10->9->8->7->
223	1.000000	10->9->8->
224	1.000000	10->9->
226	1.000000	10->11->
227	1.000000	10->11->12->
228	1.000000	10->11->12->13->
229	0.713013	10->15->14->
229	0.286987	10->11->14->
230	1.000000	10->15->
231	1.000000	10->16->
232	1.000000	10->17->
233	1.000000	10->16->18->
234	1.000000	10->15->19->
235	0.999515	10->15->19->20->
235	0.000485	10->15->22->20->
236	1.000000	10->15->22->21->
237	1.000000	10->15->22->
238	0.511910	10->15->22->23->
238	0.279509	10->15->14->23->
238	0.208581	10->11->14->23->
239	0.510425	10->15->22->21->24->
239	0.251518	10->15->14->23->24->
239	0.238057	10->15->22->23->24->
240	1.000000	11->4->3->1->
241	1.000000	11->4->5->6->2->
242	1.000000	11->4->3->
243	1.000000	11->4->
244	1.000000	11->4->5->
245	1.000000	11->4->5->6->
246	1.000000	11->10->9->8->7->
247	1.000000	11->10->9->8->
248	1.000000	11->10->9->
249	1.000000	11->10->
251	1.000000	11->12->
252	1.000000	11->12->13->
253	1.000000	11->14->
254	0.713013	11->10->15->
254	0.286987	11->14->15->
255	1.000000	11->10->16->
256	1.000000	11->10->17->
257	1.000000	11->10->16->18->
258	0.713013	11->10->15->19->
258	0.286987	11->14->15->19->
259	0.600946	11->10->15->19->20->
259	0.172263	11->14->23->22->20->
259	0.226306	11->14->15->19->20->
259	0.000485	11->10->15->22->20->
260	0.662239	11->14->23->24->21->
260	0.217323	11->10->15->22->21->
260	0.107386	11->14->23->22->21->
260	0.013051	11->14->15->22->21->
261	0.346940	11->10->15->22->
261	0.635336	11->14->23->22->
261	0.017725	11->14->15->22->
262	1.000000	11->14->23->
263	1.000000	11->14->23->24->
264	1.000000	12->3->1->
265	1.000000	12->3->1->2->
266	1.000000	12->3->
267	1.000000	12->3->4->
268	1.000000	12->3->4->5->
269	1.000000	12->3->4->5->6->
270	0.811847	12->3->4->5->6->8->7->
270	0.188153	12->3->4->5->9->8->7->
271	0.811847	12->3->4->5->6->8->
271	0.188153	12->3->4->5->9->8->
272	1.000000	12->3->4->5->9->
273	1.000000	12->11->10->
274	1.000000	12->11->
276	1.000000	12->13->
277	1.000000	12->11->14->
278	0.713013	12->11->10->15->
278	0.286987	12->11->14->15->
279	1.000000	12->11->10->16->
280	1.000000	12->11->10->17->
281	0.977933	12->13->24->21->20->18->
281	0.022067	12->11->10->16->18->
282	0.713013	12->11->10->15->19->
282	0.286987	12->11->14->15->19->
283	1.000000	12->13->24->21->20->
284	1.000000	12->13->24->21->
285	0.675622	12->13->24->21->22->
285	0.324378	12->13->24->23->22->
286	1.000000	12->13->24->23->
287	1.000000	12->13->24->
288	1.000000	13->12->3->1->
289	1.000000	13->12->3->1->2->
290	1.000000	13->12->3->
291	1.000000	13->12->3->4->
292	1.000000	13->12->3->4->5->
293	1.000000	13->12->3->4->5->6->
294	1.000000	13->24->21->20->18->7->
295	0.811847	13->12->3->4->5->6->8->
295	0.188153	13->12->3->4->5->9->8->
296	1.000000	13->12->3->4->5->9->
297	1.000000	13->12->11->10->
298	1.000000	13->12->11->
299	1.000000	13->12->
301	1.000000	13->24->23->14->
302	0.675291	13->24->21->22->15->
302	0.217323	13->24->23->14->15->
302	0.107386	13->24->23->22->15->
303	0.977933	13->24->21->20->18->16->
303	0.022067	13->12->11->10->16->
304	1.000000	13->12->11->10->17->
305	1.000000	13->24->21->20->18->
306	0.675291	13->24->21->22->15->19->
306	0.217323	13->24->23->14->15->19->
306	0.107386	13->24->23->22->15->19->
307	1.000000	13->24->21->20->
308	1.000000	13->24->21->
309	0.675622	13->24->21->22->
309	0.324378	13->24->23->22->
310	1.000000	13->24->23->
311	1.000000	13->24->
312	1.000000	14->11->4->3->1->
313	1.000000	14->11->4->5->6->2->
314	1.000000	14->11->4->3->
315	1.000000	14->11->4->
316	1.000000	14->11->4->5->
317	1.000000	14->11->4->5->6->
318	0.827252	14->15->19->20->18->7->
318	0.172748	14->23->22->20->18->7->
319	0.823237	14->15->19->20->18->7->8->
319	0.004015	14->11->10->9->8->
319	0.172748	14->23->22->20->18->7->8->
320	0.668439	14->15->10->9->
320	0.331561	14->11->10->9->
321	0.668439	14->15->10->
321	0.331561	14->11->10->
322	1.000000	14->11->
323	1.000000	14->11->12->
324	0.994212	14->23->24->13->
324	0.005788	14->11->12->13->
326	1.000000	14->15->
327	0.841265	14->15->19->17->16->
327	0.001547	14->23->22->20->18->16->
327	0.157187	14->15->19->20->18->16->
328	1.000000	14->15->19->17->
329	0.827252	14->15->19->20->18->
329	0.172748	14->23->22->20->18->
330	1.000000	14->15->19->
331	0.827252	14->15->19->20->
331	0.172748	14->23->22->20->
332	0.662571	14->23->24->21->
332	0.230043	14->15->22->21->
332	0.107386	14->23->22->21->
333	0.723908	14->23->22->
333	0.276092	14->15->22->
334	1.000000	14->23->
335	1.000000	14->23->24->
336	1.000000	15->10->9->5->4->3->1->
337	1.000000	15->10->9->5->6->2->
338	1.000000	15->10->9->5->4->3->
339	1.000000	15->10->9->5->4->
340	1.000000	15->10->9->5->
341	1.000000	15->10->9->5->6->
342	0.999515	15->19->20->18->7->
342	0.000485	15->22->20->18->7->
343	0.885465	15->19->20->18->7->8->
343	0.114049	15->10->9->8->
343	0.000485	15->22->20->18->7->8->
344	1.000000	15->10->9->
345	1.000000	15->10->
346	0.668439	15->10->11->
346	0.331561	15->14->11->
347	0.668439	15->10->11->12->
347	0.331561	15->14->11->12->
348	0.510425	15->22->21->24->13->
348	0.251518	15->14->23->24->13->
348	0.238057	15->22->23->24->13->
349	1.000000	15->14->
351	0.842813	15->19->17->16->
351	0.157187	15->19->20->18->16->
352	1.000000	15->19->17->
353	0.999515	15->19->20->18->
353	0.000485	15->22->20->18->
354	1.000000	15->19->
355	0.999515	15->19->20->
355	0.000485	15->22->20->
356	1.000000	15->22->21->
357	1.000000	15->22->
358	0.720491	15->22->23->
358	0.279509	15->14->23->
359	0.510425	15->22->21->24->
359	0.251518	15->14->23->24->
359	0.238057	15->22->23->24->
360	1.000000	16->8->6->2->1->
361	1.000000	16->8->6->2->
362	0.706578	16->10->9->5->4->3->
362	0.282961	16->8->6->5->4->3->
362	0.010462	16->8->9->5->4->3->
363	0.706578	16->10->9->5->4->
363	0.282961	16->8->6->5->4->
363	0.010462	16->8->9->5->4->
364	0.706578	16->10->9->5->
364	0.282961	16->8->6->5->
364	0.010462	16->8->9->5->
365	1.000000	16->8->6->
366	1.000000	16->18->7->
367	1.000000	16->8->
368	0.882706	16->10->9->
368	0.117294	16->8->9->
369	1.000000	16->10->
370	1.000000	16->10->11->
371	1.000000	16->10->11->12->
372	0.017726	16->10->11->12->13->
372	0.982274	16->18->20->21->24->13->
373	0.828252	16->17->19->15->14->
373	0.024323	16->18->20->22->23->14->
373	0.147426	16->18->20->19->15->14->
374	0.852574	16->17->19->15->
374	0.147426	16->18->20->19->15->
376	1.000000	16->17->
377	1.000000	16->18->
378	0.852574	16->17->19->
378	0.147426	16->18->20->19->
379	1.000000	16->18->20->
380	1.000000	16->18->20->21->
381	1.000000	16->18->20->22->
382	1.000000	16->18->20->22->23->
383	1.000000	16->18->20->21->24->
384	1.000000	17->10->9->5->4->3->1->
385	0.856297	17->10->9->5->6->2->
385	0.143703	17->16->8->6->2->
386	1.000000	17->10->9->5->4->3->
387	1.000000	17->10->9->5->4->
388	1.000000	17->10->9->5->
389	0.856297	17->10->9->5->6->
389	0.143703	17->16->8->6->
390	1.000000	17->16->18->7->
391	1.000000	17->16->8->
392	1.000000	17->10->9->
393	1.000000	17->10->
394	1.000000	17->10->11->
395	1.000000	17->10->11->12->
396	1.000000	17->10->11->12->13->
397	1.000000	17->19->15->14->
398	1.000000	17->19->15->
399	1.000000	17->16->
401	1.000000	17->16->18->
402	1.000000	17->19->
403	1.000000	17->16->18->20->
404	0.818433	17->19->15->22->21->
404	0.181567	17->16->18->20->21->
405	1.000000	17->19->15->22->
406	0.720491	17->19->15->22->23->
406	0.279509	17->19->15->14->23->
407	0.356201	17->19->15->22->21->24->
407	0.251518	17->19->15->14->23->24->
407	0.181235	17->16->18->20->21->24->
407	0.211045	17->19->15->22->23->24->
408	1.000000	18->7->8->6->2->1->
411	0.207641	18->7->8->9->5->4->
411	0.792359	18->7->8->6->5->4->
413	1.000000	18->7->8->6->
414	1.000000	18->7->
415	1.000000	18->7->8->
416	1.000000	18->7->8->9->
417	1.000000	18->16->10->
418	1.000000	18->16->10->11->
419	0.017726	18->16->10->11->12->
419	0.982274	18->20->21->24->13->12->
420	1.000000	18->20->21->24->13->
421	0.078404	18->20->22->23->14->
421	0.921596	18->20->19->15->14->
422	0.977224	18->20->19->15->
422	0.022776	18->20->22->15->
423	1.000000	18->16->
424	1.000000	18->16->17->
426	1.000000	18->20->19->
427	1.000000	18->20->
428	1.000000	18->20->21->
429	1.000000	18->20->22->
430	1.000000	18->20->22->23->
432	1.000000	19->15->10->9->5->4->3->1->
433	1.000000	19->15->10->9->5->6->2->
435	1.000000	19->15->10->9->5->4->
436	1.000000	19->15->10->9->5->
437	1.000000	19->15->10->9->5->6->
438	1.000000	19->20->18->7->
439	1.000000	19->20->18->7->8->
440	1.000000	19->15->10->9->
441	1.000000	19->15->10->
442	0.668439	19->15->10->11->
442	0.331561	19->15->14->11->
443	0.668439	19->15->10->11->12->
443	0.331561	19->15->14->11->12->
444	0.510425	19->15->22->21->24->13->
444	0.251518	19->15->14->23->24->13->
444	0.238057	19->15->22->23->24->13->
445	1.000000	19->15->14->
446	1.000000	19->15->
447	0.842813	19->17->16->
447	0.157187	19->20->18->16->
448	1.000000	19->17->
449	1.000000	19->20->18->
451	1.000000	19->20->
452	1.000000	19->15->22->21->
453	1.000000	19->15->22->
454	0.720491	19->15->22->23->
454	0.279509	19->15->14->23->
455	0.510425	19->15->22->21->24->
455	0.251518	19->15->14->23->24->
455	0.238057	19->15->22->23->24->
456	1.000000	20->18->7->8->6->2->1->
457	1.000000	20->18->7->8->6->2->
459	0.598727	20->19->15->10->9->5->4->
459	0.308672	20->18->7->8->6->5->4->
459	0.092602	20->18->7->8->9->5->4->
460	0.598727	20->19->15->10->9->5->
460	0.308672	20->18->7->8->6->5->
460	0.092602	20->18->7->8->9->5->
461	1.000000	20->18->7->8->6->
462	1.000000	20->18->7->
463	1.000000	20->18->7->8->
464	0.599058	20->19->15->10->9->
464	0.400942	20->18->7->8->9->
465	0.977224	20->19->15->10->
465	0.022776	20->22->15->10->
466	0.644116	20->19->15->10->11->
466	0.277812	20->19->15->14->11->
466	0.055296	20->22->23->14->11->
466	0.022776	20->22->15->10->11->
467	1.000000	20->21->24->13->12->
468	1.000000	20->21->24->13->
469	0.078404	20->22->23->14->
469	0.921596	20->19->15->14->
470	0.977224	20->19->15->
470	0.022776	20->22->15->
471	1.000000	20->18->16->
472	1.000000	20->18->16->17->
473	1.000000	20->18->
474	1.000000	20->19->
476	1.000000	20->21->
477	1.000000	20->22->
478	1.000000	20->22->23->
479	1.000000	20->21->24->
480	1.000000	21->24->13->12->3->1->
483	1.000000	21->22->15->10->9->5->4->
484	1.000000	21->22->15->10->9->5->
485	1.000000	21->20->18->7->8->6->
486	1.000000	21->20->18->7->
487	1.000000	21->20->18->7->8->
488	1.000000	21->22->15->10->9->
489	1.000000	21->22->15->10->
490	0.651499	21->24->23->14->11->
490	0.004015	21->22->15->14->11->
490	0.317474	21->22->15->10->11->
490	0.027011	21->22->23->14->11->
491	1.000000	21->24->13->12->
492	1.000000	21->24->13->
493	0.732193	21->24->23->14->
493	0.029750	21->22->15->14->
493	0.238057	21->22->23->14->
494	1.000000	21->22->15->
495	1.000000	21->20->18->16->
496	0.835538	21->22->15->19->17->
496	0.164462	21->20->18->16->17->
497	1.000000	21->20->18->
498	1.000000	21->22->15->19->
499	1.000000	21->20->
501	1.000000	21->22->
502	0.761612	21->24->23->
502	0.238388	21->22->23->
503	1.000000	21->24->
504	0.999668	22->15->10->9->5->4->3->1->
504	0.000332	22->23->24->13->12->3->1->
505	1.000000	22->15->10->9->5->6->2->
506	0.999668	22->15->10->9->5->4->3->
506	0.000332	22->23->24->13->12->3->
507	1.000000	22->15->10->9->5->4->
508	1.000000	22->15->10->9->5->
509	1.000000	22->15->10->9->5->6->
510	1.000000	22->20->18->7->
511	1.000000	22->20->18->7->8->
512	1.000000	22->15->10->9->
513	1.000000	22->15->10->
514	0.611721	22->23->14->11->
514	0.021740	22->15->14->11->
514	0.366539	22->15->10->11->
515	0.761612	22->21->24->13->12->
515	0.238388	22->23->24->13->12->
516	0.761612	22->21->24->13->
516	0.238388	22->23->24->13->
517	0.906224	22->23->14->
517	0.093776	22->15->14->
518	1.000000	22->15->
519	1.000000	22->20->18->16->
520	1.000000	22->15->19->17->
521	1.000000	22->20->18->
522	1.000000	22->15->19->
523	1.000000	22->20->
524	1.000000	22->21->
526	1.000000	22->23->
527	0.761612	22->21->24->
527	0.238388	22->23->24->
528	1.000000	23->24->13->12->3->1->
530	1.000000	23->24->13->12->3->
531	1.000000	23->14->11->4->
532	1.000000	23->14->11->4->5->
533	1.000000	23->14->11->4->5->6->
534	1.000000	23->22->20->18->7->
535	1.000000	23->22->20->18->7->8->
536	0.244666	23->14->15->10->9->
536	0.601131	23->22->15->10->9->
536	0.154204	23->14->11->10->9->
537	0.244666	23->14->15->10->
537	0.601131	23->22->15->10->
537	0.154204	23->14->11->10->
538	1.000000	23->14->11->
539	1.000000	23->24->13->12->
540	1.000000	23->24->13->
541	1.000000	23->14->
542	0.385818	23->14->15->
542	0.614182	23->22->15->
543	1.000000	23->22->20->18->16->
544	0.385818	23->14->15->19->17->
544	0.614182	23->22->15->19->17->
545	1.000000	23->22->20->18->
546	0.385818	23->14->15->19->
546	0.614182	23->22->15->19->
547	1.000000	23->22->20->
548	0.675622	23->24->21->
548	0.324378	23->22->21->
549	1.000000	23->22->
551	1.000000	23->24->
552	1.000000	24->13->12->3->1->
555	1.000000	24->23->14->11->4->
557	1.000000	24->23->14->11->4->5->6->
558	1.000000	24->21->20->18->7->
559	1.000000	24->21->20->18->7->8->
560	0.675291	24->21->22->15->10->9->
560	0.217323	24->23->14->15->10->9->
560	0.107386	24->23->22->15->10->9->
561	0.675291	24->21->22->15->10->
561	0.217323	24->23->14->15->10->
561	0.107386	24->23->22->15->10->
562	1.000000	24->23->14->11->
563	1.000000	24->13->12->
564	1.000000	24->13->
565	1.000000	24->23->14->
566	0.675291	24->21->22->15->
566	0.217323	24->23->14->15->
566	0.107386	24->23->22->15->
567	1.000000	24->21->20->18->16->
568	0.511161	24->21->22->15->19->17->
568	0.164462	24->21->20->18->16->17->
568	0.216991	24->23->14->15->19->17->
568	0.107386	24->23->22->15->19->17->
570	0.675291	24->21->22->15->19->
570	0.217323	24->23->14->15->19->
570	0.107386	24->23->22->15->19->
571	1.000000	24->21->20->
572	1.000000	24->21->
573	0.675622	24->21->22->
573	0.324378	24->23->22->
574	1.000000	24->23->
